book_name,book_category,book_intro,book_score,y
"거짓말이 보이는 나는, 솔직한 너에게 사랑을 했다",소설/시/희곡,"나는 거짓말을 하지 않아.
사람은 누구나 거짓말을 한다.

당신은 왜 사랑하는 사람에게
거짓말을 하나요?

‘가족’ ‘친구’ ‘연인’ 좋아하는 사람의 거짓말이 보이는 소년,
후지쿠라 히지리는 거짓말을 하지 않는다.
자신의 능력을 증오하기 때문에.

사람들과 잘 어울리고, 고양이를 좋아하는 순진무구한 소녀,
후타바 하루카는 거짓말을 한다.
좋아하는 사람을 위해서.

제19회 전격소설대상 대상 수상작가
사쿠라이 미나가 들려주는 청춘러브스토리",9.0,0
오이디푸스 왕,소설/시/희곡,"현대 극문학의 전신인 희랍 비극을 완성한
위대한 작가 소포클레스

아이스퀼로스, 에우리피데스와 함께 희랍의 삼대 비극 작가로 꼽히는 소포클레스의 대표작들을 수록. 현재까지 전문이 남아 있는 작품들 가운데 희랍 비극의 완벽한 모범이라 불리는 「오이디푸스 왕」을 비롯해 「안티고네」, 「아이아스」, 「트라키스 여인들」 등 뛰어난 구성과 치밀한 묘사, 심오한 주제 의식이 두루 빛나는 결정적 작품 네 편이 실려 있다.

소포클레스 비극에서 불행과 고통, 죽음은 결코 우발적인 것이 아니며 무의미하지 않다. 불행과 고통, 죽음은 다양한 방법으로 변화(거짓된 삶에서 진정한 삶으로 나아가는 변화)를 낳거나 변화의 조짐이 된다. 죽음 같은 고통(정신이나 육체의 고통 또는 정신과 육체의 고통)은 진실에 대한 이해를 낳는 동시에 ‘재생’으로 이어진다. 예컨대, 소포클레스가 상상해 낸 오이디푸스는 전설에 나오는 모순된 오이디푸스, 즉 인간들 가운데 가장 행복하고 가장 비참한 인간, 아무도 풀지 못한 수수께끼를 풀지만 정작 자신의 진실을 모르는 사람, 범죄자를 쫓는 범죄자이며, 그와 동시에 공격적이면서도 너그럽고, 오만하지만 자신이 놓친 진실을 찾는 일에 열정적으로 몰두하며, 모든 것을 잃고 추방되는 마지막 순간에 외려 끈기를 회복하는 ‘소포클레스의 오이디푸스’가 되었다. 결국 소포클레스는 작품을 통해 죽음을 두려워하면서도 진실을 찾기 위해 자기 의지대로 삶을 이뤄 나가는 주체적 인간상을 보여 준다.
 ",8.5,0
숨 쉬는 소설,소설/시/희곡,"MD 한마디
[건강한 지구를 꿈꾸는 당신과 나누고 싶은 이야기] 지구와 생명을 테마로 한 단편 소설집. 기후 위기, 플라스틱 문제, 육식 문화 등 더 나은 지구를 꿈꾸는 모두와 나누고 싶은 여덟 편의 소설을 엮었다. 결국 인류의 위기가 될 지구의 위기는 어디쯤 와있고 어디로 향하고 있을까. 지금 우리가 주고받아야 할 이야기들이 여기 이 소설들 속에 있다. -소설MD 박형욱
다시 지구를 숨 쉬게 하고 싶은 당신에게 필요한 여덟 가지 이야기

친환경 가치에 익숙한 Z세대를 위해 지구와 생명을 테마로 한 단편 소설 8편을 엮은 『숨 쉬는 소설』이 출간되었다. 우리 시대의 작가 최진영, 김기창, 김중혁, 김애란, 임솔아, 이상욱, 조시현, 배명훈은 각자의 시선으로 지구 생태계의 현재와 미래를 그려 낸다. 소설은 독성 화학 물질, 기후 위기, 플라스틱 문제, 다른 생명과의 교감, 신체 가치에 대한 고민, 육식 문화, 인간을 거부하는 지구, 광활한 자연의 아름다움을 각각 다룬다. 소설을 통해 환경 문제를 바라보게 하는 이 책은, 지구의 위기에 민감하게 반응하는 세대인 청소년과 2030 독자들에게 새로운 경험을 선사할 것이다.

이 책은 창비교육에서 출간하는 테마 소설 시리즈의 네 번째 책으로, 노동을 주제로 한 『땀 흘리는 소설』, 사랑을 주제로 한 『가슴 뛰는 소설』, 재난을 주제로 한 『기억하는 소설』의 후속이다.
 ",10.0,1
인형의 집,소설/시/희곡,"19세기 말 발표된 최초의 페미니즘 희곡

『인형의 집』은 전체 3막으로 구성된 희곡으로, 1879년 덴마크 코펜하겐에서 초연된 이후 전 세계에서 공연되고 있다.남성 중심 사회에서 자아를 발견하려는 여주인공 '노라'를 등장시켜서 최초의 페미니즘 희곡으로 불리워지는 이 희곡은 결혼과 남녀의 역할에 대해 의문을 던지고 있다. 이 책은 특히 기존에 수정되거나 삭제되었던 부분까지 모두 복원한 판본으로 번역한 책으로, 19세기 말 당시 유럽에서 성스러운 것으로 여겨지던 결혼과 남녀의 역할, 종교 등에 대해 의문을 던졌던 작품의 원래 분위기를 느낄 수 있다.

주인공인 노라는 세 아이의 어머니이자 사랑받는 아내이다. 행복하게 크리스마스를 준비하는 그녀에게 친구인 린데부인이 찾아오면서 그녀의 생활은 흔들리기 시작한다. 친구를 돕기 위해 그녀를 집에 고용하면서 노라의 비밀을 알고 있던 크로그스타드가 해고되고 그는 그녀의 남편 헬메르에게 그녀의 비밀인, 남편 몰래 돈을 빌려썼다는 사실을 알려버린다. 이를 알게된 남편은 그녀를 비난하고 그들의 결혼 생활은 다른 사람에게 보이기 위한 것일 뿐이라며 노라가 아이들을 교육시킬 자격도 없다고 선언한다. 남편을 위해 했던 행동으로 그에게 비난받으면서 그녀는 자신의 자아를 깨닫게 되고, 자신을 찾아 허위와 위선뿐인 ‘인형의 집’을 떠난다.
 ",9.0,0
운수 좋은 날,소설/시/희곡,"한국을 대표하는 작가들의 중·단편 소설을 묶어 작가별로 권을 구성하였다. 작가의 중요 작품과 작품별 해설, 작가의 작품 세계와 연보까지 작가의 모든 것을 한 권에 담아냈다. 중학교에서부터 고등학교에 이르기까지 교과서에 자주 나오는 작가들에 대한 궁금증을 한 권에 집약하여, 청소년 시기에 꼭 읽어야 할 작품, 기존 선집에서 잘 다뤄지지 않은 희귀작이나 작가의 독특한 작품 세계를 드러내는 문제작까지 수록하였다. 『운수좋은 날』에는 현진건의 단편 소설이 수록되어 있다.
 ",9.9,1
수난이대,소설/시/희곡,"민족의 수난을 따뜻한 시선으로 그려 낸 작가 하근찬,
그 극복 의지를 염원하다!

「수난이대」는 아버지와 아들 두 세대에 걸친 우리 민족의 수난을 간결하면서도 인상 깊게 그려 낸 단편이다. 「흰 종이수염」은 6·25 전쟁 때 노무자로 끌려가 한쪽 팔을 잃고 집에 돌아온 아버지를 바라보는 아들의 시점에서 민족의 수난을 그린 단편이다.「나룻배 이야기」는 나룻배가 유일한 교통수단인 한적하고 평화로운 섬마을 사람들이 6·25 전쟁으로 입게 된 지워지지 않는 상처를 그린 단편이다. 「왕릉과 주둔군」은 매일같이 왕릉을 돌보는 전통적인 사고방식의 박 첨지가 동네에 주둔하게 된 미군 부대로 인해 겪게 되는 시련을 담은 단편이다.
 ",9.0,0
까칠한 재석이 1~6권 세트,소설/시/희곡,"『까칠한 재석이 6권 세트』는 가장 한국적인 청소년 소설이라는 평가를 받으며 50만 부의 판매고를 기록한 학교폭력과 문제아 학생의 변화를 다룬 『까칠한 재석이가 사라졌다』, 청소년 사이에서 문화 트렌드로 자리 잡은 오디션 열풍의 문제점을 꼬집은 『까칠한 재석이가 돌아왔다』, 요즘 학생들 사이에서 가장 뜨거운 감자라고 할 수 있는 ‘이성교제’와 ‘청소년 성문화’를 소재로 한 세 번째 이야기 『까칠한 재석이가 열받았다』, ‘외모지상주의’가 만연한 세상 속에서 자기다움을 잃지 않는 것, 자기 개성의 아름다움에 관하여 생각해볼 수 있는 주제를 담아낸 『까칠한 재석이가 달라졌다』, 학생들 간의 ‘왕따 문제’를 정면으로 다룬 『까칠한 재석이가 폭발했다』, 게임에 빠진 청소년들의 여러 실태와 어려움, 미래의 꿈까지 제시한 『까칠한 재석이가 결심했다』를 묶어 독자들이 더욱 편하게 고정욱 작가의 성장소설을 편하게 만나볼 수 있도록 만들어졌다.",10.0,1
시와 그림 사이,소설/시/희곡,"언제나 우리를 위로하는 나태주 시 48편과
시에서 영감을 받은 컬러링 도안 25점 수록!

이 책은 보통의 언어로 우리를 위로하고 보듬는 국민 시인 나태주의 컬러링 시집이다. 대표 시 「풀꽃」을 포함해 독자들에게 많은 사랑을 받은 시와 그가 문학 인생 50년간 쓴 작품 중 읽는 것만으로도 이미지가 떠오르고 이야기가 흐르는 시 48편을 엄선하여 실었다.

꼭 닮은 이미지의 두 시를 읽고 페이지를 넘기면, 시의 분위기를 그대로 머금은 그림이 우리를 포근하게 맞이한다. 다정하고 따뜻한 시선을 담아 소녀소년 시절을 그리는 작가 일루미가 이 책에 참여해 시의 감성을 그림으로 섬세하게 표현했다. 시의 이미지를 독자에게 잘 전달하기 위해 시를 필사하며 영감을 받았다는 작가의 그림에서는 나태주의 감성이 뚝뚝 떨어지는 듯하다.

컬러링에 친숙하지 않은 사람도 쉽고 재밌게 색칠할 수 있도록 그림 원본과 컬러링 도안을 펼침면으로 구성했으며, 작가의 섬세한 라인이 컬러링 도안에 그대로 살아 있어 간단한 터치만으로도 완성도 있는 결과물을 얻을 수 있다. 또한, 시를 읽고 넘기는 데 방해되지 않으면서도 색연필 채색에도 적합한 두께의 종이를 사용해 시집으로 봐도, 컬러링북으로 봐도 손색없는 매력 만점 컬러링 시집이다.
 ",9.6,1
눈길,소설/시/희곡,"한국을 대표하는 작가들의 중·단편 소설을 묶어 작가별로 권을 구성하였다. 작가의 중요 작품과 작품별 해설, 작가의 작품 세계와 연보까지 작가의 모든 것을 한 권에 담아냈다. 중학교에서부터 고등학교에 이르기까지 교과서에 자주 나오는 작가들에 대한 궁금증을 한 권에 집약하여, 청소년 시기에 꼭 읽어야 할 작품, 기존 선집에서 잘 다뤄지지 않은 희귀작이나 작가의 독특한 작품 세계를 드러내는 문제작까지 수록하였다. 『눈길』에는 이청준의 작품 3편이 수록되어 있다.
 ",9.8,1
문학이란 무엇인가,소설/시/희곡,"이 책은 사르트르의 Qu'est -ce que la litterature?의 번역서로 문학의 본질에 대하여 놀라운 통찰력으로 더없이 명료하고 경쾌하게 진술한 사르트르의 명저이다.
 ",8.5,0
