book_name,book_category,book_intro,book_score,y
엄마아빠의 태교기도,종교,"“유아 교육 전문가가 소개하는
태아 성장단계별 맞춤기도문”
엄마의 태담 | 아내를 위한 남편의 기도 | 상황별 성경구절 수록

우리아이 주수별 성장과정에 따른 맞춤 40주 기도문,
가장 좋은 것만 주고 싶은 예비부모를 위한
우리가족 행복한 태교시간!

「엄마아빠의 태교기도」는 임신 준비에서부터 출산 후까지 우리아이의 주수별 성장 과정에 맞춰 건강하게 자라도록 돕는 40주 태아기도문이다. 부부가 함께 마음을 모아 태아의 40주수별 성장과정을 따라 기도할 때, 부부에게는 서로를 격려하며 하나님과 친밀한 교제의 시간이 되고, 태아에게는 엄마아빠의 사랑과 축복을 공급받는 행복한 시간이 되어 가족 모두가 사랑으로 하나 되게 한다.

임신의 기쁨으로 아이와의 만남을 기다리고 있을 부모뿐만 아니라, 임신을 계획 중에 있거나 간절한 마음으로 하나님의 인도하심을 기다리는 예비부모들을 위한 기도문도 수록되어 있어 임신출산의 과정을 감사와 믿음으로 준비하고 기도를 통해 역사하시는 하나님의 은혜를 경험할 수 있도록 돕는다.
 ",10.0,1
티벳 해탈의 서,종교,"마음을 깨쳐 이몸 해탈에 이르게 하는 티벳 최고의 경전 『티벳 解脫의 書』완역본. 이 경전은 지금가지 알려지지 않았던 티벳의 위대한 스승 파드마삼바바의 삶과 가르침, 그리고 대승불교 최고의 교리 중 그 진수만을 담고 있다. 『티벳 解脫의 書』는 전문에 풍부한 주해를 달고 칼 융의 심리학적 해설을 비롯한 상세한 해제를 수록하여 원전의 진의를 완벽하게 드러내고 있다.",10.0,1
네 입에 건강이 있다,종교,"해긴 목사남의 최신작인 이 책은 기도와 치유학교를 시작한 첫해에 치유를 가르친 내용들이다. 이 책은 매일매일 QT형식으로 된 책으로, 하나님의 약, 곧 그 분의 말씀을 하루 분량씩 먹도록 되어 있다. 그러므로 치유에 관한 원리를 이해하고, 하나님의 말씀을 읽고 묵상하고 선포할 때 고통과 질병이 없는 건강한 삶을 누릴 수 있다.",9.8,1
목회상담 이론 입문,종교,"한국 교회의 현장과 상담과제를 다루는 목회상담서이다. 지난 2006년 3월부터 가져 온 월례 학술대회 발표들을 기초로 하고, 그간에 한국의 목회상담을 위해 발표된 글들을 편집하여 책을 펴낸다. 여러명의 저자들의 학문연구 배경에 따라 참고도서나 기타의 내용들이 문화나 언어상으로 상이한 면이 있어 다양한 시각을 제시한다는 장점이 있다.",9.4,0
사주명리학 초보 탈출,종교,"많은 사람들이 사주명리학을 타고난 운명을 알아보는 학문이라고 생각한다. 하지만 운명은 한 치의 빈틈없이 미리 결정되어 있는 것이 아니라 개인의 노력에 따라 얼마든지 달라질 수 있다. 자신의 운명을 잘 알면 타고난 장점은 더욱 발전시키고, 단점은 노력하여 개선할 수 있다. 이와 마찬가지로 사주명리학은 앞날의 길흉을 미리 알고 그에 대비할 수 있는 방법을 찾고, 분수에 맞지 않는 어리석은 행동을 하지 않도록 알려주는 학문이다.

이 책의 가장 큰 특징은 사주명리학을 공부하려는 초보자들이 쉽고도 지루하지 않게 심도 있는 이론을 공부할 수 있다는 점이다. 또한, 생활 속에서 활용할 수 있는 실용적인 이론들을 소개하고 있다. 기존 이론에서 다루는 사주명리학의 중요한 학설뿐만 아니라, 저자가 오랜 시간 임상을 통해 확인한 새로운 이론들 역시 중요하게 다루고 있다. 기존 학설이라도 현실적으로 잘 들어맞지 않는 사주 이론은 과감하게 버리고 타당성이 있는 학설 위주로 실었다.",8.2,0
"종교, 과학에 말을 걸다",종교,"‘자연과 인간’, 종교와 과학의 연결고리

전적으로 달라 보이는 과학적 세계와 종교적 세계의 상호의존의 가능성은 과학과 종교의 대상에 대한 인식에서 찾을 수 있다. 과학의 대상은 자연이다. ‘소크라테스 이전 사람들’에게서 볼 수 있는 것처럼, 그들은 자연으로부터 신을 제거함으로써 자연철학의 효시가 되었다. 반면 종교의 대상은 신이다. 이렇게 놓고 본다면 종교와 과학이 만날 수 있는 가능성이란 매우 희박하다. 그러나 과학의 대상인 자연과 인간의 상호성을 분리될 수 없다는 점 그리고 종교의 대상인 신과 인간의 상호성 역시 분리될 수 없다는 점에서 과학과 종교는 동일한 주제와 접목된다. 이러한 연결 가능성은 새로운 시대에 알맞게 재구성된 세계관을 희망하는 이 책이 과학과 종교를 주제로 다루는 이유이기도 하다.

과학과 종교의 주제가 한결같이 인간과 불가분의 관계를 맺고 있다는 인식은 과학과 종교를 문화라는 측면에서 바라볼 수 있는 근거가 된다. 과학을 대하는 우리의 관심은 자연에 대한 이해가 인간의 삶을 어떻게 규정해왔으며, 그것이 인간의 사고에 어떤 영향을 끼쳤느냐 하는 데 있다. 종교의 경우도 마찬가지다. 종교적 사고가 인간의 삶과 사고에 미친 영향은 종교의 기능과 긴밀하게 연관되어 있다. 바꾸어 말해 과학과 종교는 인간의 삶의 양식, 즉 문화에 매우 중요한 영향을 미치는 요소다.",9.4,0
곤고한 날에는 생각하라,종교,"“성서와 인문 고전을 씨줄과 날줄 삼아 직조해 온 치열한 사유와 실천의 기록!”
김진혁, 백소영, 손성찬, 정한욱, 조영헌, 천종호 추천

곤고한 나날을 지나며 삶을 생각하는 당신에게 이 책을 권합니다.

위기의 한복판에서 곤고한 날을 지나며 삶에 대해 묻고 있다면

우리는 모두 따뜻하고 안락한 날들과 곤핍하고 황무한 날들 사이를 오가며 하루하루를 살아 낸다. 그러나 우리가 삶을 생각하고 고민하며 의문을 품고 질문하는 것은 삶의 무게에 짓눌려 지쳐 있을 때다. ‘나에게 왜 이러한 고난과 위기가 찾아왔을까?’, ‘하나님은 왜 나에게 이런 시기를 지나게 하실까?’, ‘내게 닥친 이 문제를 어떻게 풀어야 할까?’, ‘이 삶에 내게 어떤 의미가 있을까?’ 사랑과 용서, 의심과 믿음, 쉼과 죽음과 같이 개인이 일상에서 고민하는 주제에서 경건함과 종교, 정치 참여와 같은 사회적 관계에서 부딪치는 문제에 이르기까지 우리는 늘 다양한 삶의 주제를 품고 살아간다. 그리고 그런 우리에게는 우리가 고민하는 문제와 주제에 대해 길을 제시해 줄 무언가가 필요하다.
 ",10.0,1
초인생활 2 : 강의록,종교,"인류에게 진리의 빛을 비추어주는 불멸의 초인들,
그들의 가르침을 더 낱낱이 들추어보는 강의와 문답

1894년 말, 저자 스폴딩을 포함한 열한 명의 미국인들은 인도에서 우연히 만난 ‘에밀’이라는 기이한 인물의 안내로, 불가사의하고 신비한 영적 탐사활동에 발을 들여놓게 된다. 인도, 티베트, 중국에 걸친 히말라야 산맥의 고지에서 3년 6개월간 계속된 이 탐사를 통해, 스폴딩 일행은 수천 년 전부터 인류에게 영원한 진리의 빛을 비추고 있는 ‘성 형제단’(the Holy Brothers)의 영적 스승들과 만난다. 그들은 자신들의 일상생활 속에서 온갖 놀라운 기적들을 자유자재로 행하는, 소위 불사(不死)의 존재들이었다.

『초인생활 2』는 초인들과 함께한 영적 탐사록이 공개된 후 쏟아진 독자들의 궁금증을 해소하기 위해 저자 스폴딩이 추가로 발표한 강의와 문답 모음이다. 이 책은 단순히 탐사록의 흥미진진하고 감동적인 이야기를 감상하는 데서 그칠 것이 아니라, 어떻게 그것을 우리의 삶 속에서 되살려낼 것인가를 중심에 두고 주요 개념들을 풀이한 영적 참고서이자 자습서라고 할 수 있다. 물질 위주의 세계관이 전 세계적인 규모로 확산되어가던 19세기 말~20세기 초에, 광대무변한 영적 세계의 진면모를 밝혀 드러내준 이 뜻깊은 기록은 모든 종교적 종파와 동서양의 간극을 뛰어넘는 ‘영적 세계시민주의’(spiritual cosmopolitanism)의 씨앗을 심은 고전으로 오늘날까지 굳게 자리 잡고 있다.
 ",10.0,1
초인생활 : 탐사록,종교,"인류에게 진리의 빛을 비추어주는 불멸의 초인들,
그들이 펼치는 기적의 ‘초인생활’을 생생히 기록하다

1894년 말, 저자 스폴딩을 포함한 열한 명의 미국인들은 인도에서 우연히 만난 ‘에밀’이라는 기이한 인물의 안내로, 불가사의하고 신비한 영적 탐사활동에 발을 들여놓게 된다. 인도, 티베트, 중국에 걸친 히말라야 산맥의 고지에서 3년 6개월간 계속된 이 탐사를 통해, 스폴딩 일행은 수천 년 전부터 인류에게 영원한 진리의 빛을 비추고 있는 ‘성 형제단’(the Holy Brothers)의 영적 스승들과 만난다. 그들은 자신들의 일상생활 속에서 온갖 놀라운 기적들을 자유자재로 행하는, 소위 불사(不死)의 존재들이었다.

『초인생활』은 그들과 밤낮을 같이하며 목격한 사실들을 생생하게 써내려간 기록이다. 공중부양, 유체이탈, 원격이동, 부활과 치유의 기적, 물 위를 걷는 기적, 상념만으로 모든 것을 이루어내는 창조의 기적, 오병이어(五餠二魚)의 기적, 예수 및 붓다와의 만남 등 상상조차 할 수 없는 놀라운 이야기들을 담고 있는 이 책은 미국을 비롯한 서구 기독교 세계에 일대 파문을 일으켰다. 물질 위주의 세계관이 전 세계적인 규모로 확산되어가던 19세기 말~20세기 초에, 광대무변한 영적 세계의 진면모를 밝혀 드러내준 이 뜻깊은 기록은 모든 종교적 종파와 동서양의 간극을 뛰어넘는 ‘영적 세계시민주의’(spiritual cosmopolitanism)의 씨앗을 심은 고전으로 오늘날까지 굳게 자리 잡고 있다.
 ",10.0,1
"스무살, 반야심경에 미치다",종교,"도올, 『반야심경』으로 새로운 깨달음을 전해준다!

20대의 도올은 『반야심경』의 의미를 접하고 충격을 받는다. 이 책은 그 이야기부터 시작하여 『반야심경』과 관련된 모든 것을 다룬다. 『반야심경』은 대승불교의 핵심 경전이다. 이 경전이 탄생되기까지의 결정적 장면들을 생동감 있게 이야기한다. 싯달타에서 대승불교까지의 인도 불교사가 일목요연하게 정리되어 있다. 또 공空사상이 전면에 등장하는 『반야심경』 텍스트를 심도 있게 분석하여, 반야지혜의 구체적 내용을 현재 우리의 문제의식과 결부시켜 쉽게 설명해준다. 또한 이 책은 한국불교의 흐름과 그 본질적 성격도 재미있는 이야기로 전해준다. 선禪중심의 한국불교는 독특하다. 서산대사로부터 경허, 만공을 거쳐 성철, 법정으로 이어지는 우리 선 수행 전통의 도도한 흐름을 알 수 있다. 여기에 우리 불교의 내밀한 인간적 모습과 큰 울림을 주는 선사들의 공안을 소개하면서 한국불교가 조선시대에 핍박을 받음으로 인해 오히려 순결한 수행풍토가 이어져왔다는 아이러니를 알려준다. 저자가 들려주는 위대한 수행자 경허의 이야기는 무엇이든 감동적이다.
 ",8.9,0
