book_name,book_category,book_intro,book_score,y
엄마 심리 수업,인문,"엄마가 자신을 알아야 아이가 보인다
엄마의 무의식, 욕망, 죄책감, 불안, 상처 등 엄마가 꼭 알아야 할 ‘내 마음속 숨겨진 심리’

‘어떻게 하면 내 아이를 더 좋은 환경에서 잘 키울 수 있을까?’ ‘이러다 뒤처지거나 삐뚤어지는 건 아닐까?’ ‘강제로라도 공부를 시켜야 할까, 다른 자질을 찾아줘야 할까?’ ‘혹 엄마인 내가 뭔가 잘못하고 있는 건 아닐까?’ 매 순간 아이 걱정에 노심초사하는 엄마들의 다양한 고민을 후련하게 해소하고, 흔들림 없는 자녀 교육 철학을 제시하는 책 『엄마 심리 수업』이 출간되었다.

이 책은 엄마들이 자녀를 키우면서 갖는 다양한 감정과 심리적 기제, 즉 불안, 죄책감, 열등감, 상처, 걱정, 의심, 분노 등이 평소 아이에게 어떤 영향을 미치는지 알려주고, 특히 미처 눈치채지 못한 엄마 무의식을 심도 있게 파헤쳐, 엄마가 자신의 핵심 감정을 알아채고 다뤄 아이에게 좋은 영향을 끼치도록 돕는다. 특히 잘못될까 뒤처질까 조바심 나는 불안, 감기조차 내 탓이라며 미안해하는 죄책감, 옆집 엄마만 만나면 시작되는 비교와 열등감, 직장 맘들의 고충과 상처, 전업 맘의 역할 변화, 불확실한 아이 미래에 대한 의구심, 아이를 키우며 생기는 자연스런 화와 분노 등 주요 감정과 그 영향력을 심층적으로 다루고 있다.

30년 경력의 정신건강의학과 전문의인 윤우상 박사는 장장 6년에 걸쳐 이 책을 집필하고 다듬어 책으로 엮었다. 오랫동안 엄마 심리 특강을 해오며 각계각층의 엄마들과 만나온 저자는, 요즘 엄마들의 고민이 생각보다 심각하고 답을 찾지 못해 힘들어하고 있다는 점에 주목해, 그간의 상담과 치유의 경험에 자신의 생각과 소신을 보태 『엄마 심리 수업』이라는 책을 완성했다. 저자는 “세상의 모든 엄마들은 그 자체로 위대하다. 그런데 어쩌다 엄마로 살기 너무 힘든 시대가 돼 결혼도 안 하고 아이도 안 낳고 싶어 한다. 부디 이 책으로 엄마로 산다는 것의 기쁨을 누리고, 엄마와 아이가 둘 다 행복해지는 길을 찾길 바란다”고 집필 동기를 밝혔다.

 ",9.6,1
우리는 왜 잠을 자야 할까,인문,"세계적인 신경 과학자이자 수면 전문가인 매슈 워커의 『우리는 왜 잠을 자야 할까』가 열린책들에서 번역 출간되었다. 워커는 100편이 넘는 과학 논문을 발표하며 정력적인 연구 활동을 벌이는 수면 의학 분야의 석학이자, 동시에 텔레비전 방송과 라디오 매체를 통해 대중과 활발하게 교감하는 자타 공인 [수면 외교관]으로 인정받고 있다. 이 책에서 저자는 수면 의학의 최전선에서 우리가 미처 몰랐던 잠의 이모저모를 과학적 근거들과 함께 이해하기 쉽게 설명하고, 잠의 놀라운 능력을 통해 우리 삶을 더 나은 방향으로 이끌 방법을 탁월한 통찰로 제시하고 있다.

지난 20년 동안 과학적 발견이 폭발적으로 이루어지면서 잠이라는 주제도 새롭게 규명되기 시작했다. 잠을 통해 우리는 무엇을 얻을까? 이 책에서 저자가 말하는 잠의 혜택은 실로 놀랍다. 우리는 충분한 잠을 잠으로써 강화된 기억력과 높은 창의력을 얻을 수 있다. 잠을 충분히 잔 사람이 그렇지 않은 사람에 비해 더 매력적으로 보인다. 몸매를 더 날씬하게 유지시키고, 식욕도 줄여 준다. 암과 치매를 예방하고 감기와 독감도 막아 준다. 심장 마비와 뇌졸중, 당뇨병 위험이 줄어든다. 행복한 기분이 고양되고 우울하고 불안한 기분이 사라진다. 잠과 함께 꾸는 꿈은 깨어 있을 때의 고통스러운 기억을 완화시킨다. 뇌가 과거와 현재의 지식을 융합하여 창의성을 꽃피우도록 가상의 현실을 만들어 내기도 한다. 잠과 꿈은 그 밖에도 우리의 몸과 마음에서 수많은 일을 수행한다.

우리는 잠을 자야 한다. 저자가 이 책에서 던지는, 잠과 관련된 거의 모든 질문은 우리가 잠을 자야만 하는 이유를 완벽하게 설명해 준다. 카페인과 알코올은 잠에 어떻게 영향을 끼칠까? 렘수면 때 실제로 어떤 일이 일어날까? 우리의 수면 양상은 왜 나이를 먹음에 따라 달라질까? 흔히 접할 수 있는 수면제는 어떻게 작용하며, 장기적으로 우리에게 어떤 피해를 끼칠 수 있을까? 꿈은 어떻게 학습, 기분, 활력을 증진시키며, 호르몬을 조절할 수 있을까? 아이들의 성장, 노동 현장의 능률과 성취도와 생산성은 잠과 어떤 관련이 있을까? 명료하면서 흥미진진하고 이해하기 쉽게 쓰인 이 책은 수면과 잠에 관한 독자의 이해와 인식을 완전히 바꿔 놓을 것이다. 하루의 3분의 1을 완벽하게 활용해 보자. 그것이 인생의 남은 3분의 2를 가장 효율적이고 완벽하게 활용하는 방법이기 때문이다.

 ",9.5,0
아름다운 우리 절을 걷다,인문,"한국출판문화산업진흥원 2021년 출판콘텐츠 창작지원사업 선정작

절에서 옛것의 아름다움을 느끼기 위한 최소한의 지식

여행자가 꼭 방문해야 할 곳으로 유럽에 성당이 있다면, 우리에게는 절이 있다. 이렇게 절은 누구나 찾는 친근한 장소이지만, 어떻게 쓰이는지 알 수 없는 여러 채의 집들, 석조물, 조각상, 그림 등으로 채워진 미지의 공간이기도 하다. 절에 대한 책들은 많지만 그곳에서 여행자들이 갖는 궁금증을 제대로 풀어 주지는 못한다.

우리 옛 미술을 쉽고 재미있게 알려 스타 강사가 된 이 책 저자는 일주문부터 산신각까지 절 구석구석을 돌아다니며 곁에 있는 여행 가이드처럼 친절한 설명을 해 준다. 이 책은 절에서 옛것의 아름다움을 제대로 느끼기 위해 알아야 할 최소한의 지식을 담고 있다. 각기 다른 절들에서 공통점을 뽑아내 이야기해 주기 때문에 어느 절에 가도 책 내용을 적용시킬 수 있다. 불교 신자이거나 그저 단순한 절 여행자이거나 상관없이 모두에게 이 책은 좋은 안내자가 되어 줄 것이다.

 ",9.8,1
느끼고 아는 존재,인문,"세계적인 신경과학자 안토니오 다마지오,
그의 40여 년에 걸친 ‘감정과 의식’ 연구의 결정판!

안토니오 다마지오는 ‘인간의 정서와 느낌’에 관한 연구에서 전 세계적으로 인정받고 있는 신경생물학 분야의 선도적인 석학이다. 그는 인간의 ‘정서’와 ‘느낌’이 의사결정에 미치는 영향과 자아 형성에 기여한 역할을 연구했으며, 인간의 마음이 단순히 뇌의 작용만으로 환원할 수 없는 문제임을 고찰해냈다. 그는 생명의 탄생에서부터 인간 문명의 발전에 이르는 긴 진화적 과정 동안 느낌과 감정이 생명 유지에 중추적인 역할을 했다고 말한다.

세상에서 가장 풀기 어려운 문제 중 하나인 의식의 비밀에 한층 더 가까이 다가가고자 했던 다마지오는 인간의 감정과 의식에 대한 자신의 아이디어를 세상에 설명해왔다. 다마지오는 이 책 《느끼고 아는 존재》에서 그동안 자신이 의식의 문제에 천착해온 결과를 갈무리하고 최근 연구 성과를 덧붙였다. 이 책에는 인간의 신체와 마음의 작용에 대한 다마지오의 통합적 관점이 그 어떤 책보다도 간결하고 포괄적으로 설명되어 있다.
 ",9.3,0
따뜻한 인간의 탄생,인문,"인류 진화사는 체온 조절을 위한 기나긴 여정이었다
진화심리학으로 풀어낸 체온의 진화사

감정, 관계, 건강, 심지어 집을 잘 파는 능력까지
우리가 관심을 가지는 거의 모든 것은 체온 조절과 관련 있다!

인류는 오랜 진화사를 통해 다양한 기후 환경에 적응해왔다. 어떤 의미에서 인류 진화사는 체온 조절을 위한 기나긴 여정이었다고 해도 과언이 아니다. 직립 보행을 하고, 털이 없어지고, 뇌 크기가 커지는 신체적 진화. 불을 사용하고, 옷을 만들어 입고, 집을 지어 사는 정신적 진화. 다른 사람과 부대끼며 교류하는 사회적 진화… 인류의 수많은 변화가 바로 체온 조절을 위한 선택압에서 유발되었다.

사회심리학자 한스 이저맨은 인간은 체온을 따뜻하게 유지하기 위해 오랫동안 서로에게 의존해왔으며, 이런 사회적 체온 조절 본능은 사회와 문화를 형성하고 지탱하는 버팀목이 되었다는 해석을 내놓는다. 그는 진화론적 관점에서 체온 조절이 인간에게 미치는 영향을 다각도로 탐색하여 감정, 관계, 건강, 언어, 심지어 집을 잘 파는 능력까지 얼마나 많은 것이 주변 온도에 또 체온에 따라 달라지는지 보여준다. 거의 모든 것이 디지털로 연결되어 물리적 접촉이 사라져가는 시대에 인간이라는 종의 본성에 대한 긍정적이고 놀라운 메시지를 던진다.
 ",9.7,1
나는 오늘 나에게 ADHD라는 이름을 주었다,인문,"ADHD를 진단받은 임상심리학자,
여자아이와 여성이 진단에서 소외된 배경을 추적하다

대학병원의 평범한 점심시간, 임상심리학자 신지수는 빈 검사실에 들어가 충동적으로 주의력 검사를 실시한다. 컴퓨터 화면에 뜬 결과는 “저하”. ADHD 의심 결과를 확인한 후 정신과에 내원해ADHD 진단을 받는다. 그는 서른에야 진단받을 수 있던 원인을 찾고자 책과 논문을 뒤졌지만, 관련 도서 대부분이 ADHD가 있는 유아기와 아동기 남자아이, 성인의 증상만을 다루고 있었다. 여자아이와 여성 환자에 대한 의학적 정보를 찾아 고군분투하던 그때, 그의 인생을 바꾸는 중요한 사실을 마주한다. 지금까지 여러 이유로 여자아이들이 ADHD 진단에서 배제되어왔으며, 치료받지 못한 채 성인이 된 그들이 제 발로 병원과 센터를 찾아오고 있다는 것이다.

임상심리학자로서 다시는 자신과 같은 환자를 놓치지 않겠다고 결심한 저자는 여자아이와 여성이 ADHD 진단에서 배제되어온 원인을 탐구한다. 과잉행동/충동형, 부주의형, 복합형으로 다양한 ADHD의 유형 중 과잉행동/충동형만 강조된 심리학·정신의학적 배경, 발견되기 어려운 부주의형의 특성, 진단 기준과 진단 도구에서의 문제, 정신건강 전문가와 양육자·교육자의 성 고정관념과 사회가 강요하는 성역할, 대중매체가 ‘ADHD=천방지축 남자아이’만 조명한 이유, 젠더 편향 이슈가 지속되는 정신건강계의 구조적 문제를 살핀다. 또한 ADHD 여자아이가 성인이 되어 겪는 일상적·정신적 문제를 전하며 조기 진단의 필요성을 강조한다. 더 나아가 임상학적 지식을 바탕으로 ADHD 치료 과정, 일상관리법, 직접 쓴 약물 일기 등을 소개함으로써 여성 환자의 일상 회복을 기원한다.

이 책은 ADHD 증상을 의심하고 있거나 이미 진단받은 이, 자신 외의 ADHD 여성이 어떤 모습으로 살아가는지 알고 싶은 여성, 자녀에게서 ADHD 증상을 발견하고 걱정하는 부모 들은 물론 의료계 젠더 편향에 관심 있는 이들에게도 도움이 될 것이다.

 ",10.0,1
뉴로다르마,인문,"MD 한마디
자기공명영상(MRI) 발명은 과학적인 뇌 연구를 추동했다. 이 장치로 뇌의 가소성이 증명됐다. 뇌의 가소성이란, 뇌가 죽을 때까지 진화한다는 사실이다. 그리고 명상이 뇌의 진화에 도움을 줄 수 있다는 게 밝혀졌다. 이 책은 뇌 발전에 명상이 미치는 영향을 규명했다. - 손민규 인문 MD
우주, 바다와 함께 인류가 정복하지 못한 3대 미지의 영역인 뇌를 탐색하던 과학자들이 맞닥트리게 된 것은 바로 명상!

생물학의 일대전환을 이룬 단 하나의 사건을 꼽으라면 바로 현미경의 개발이다. 17세기 네덜란드인 안토니 반 레벤후크에 의해 최초로 개발된 현미경은 ‘미생물’을 발견해 냈다. 이후 ‘생명의 기원’에 대한 새로운 이론이 정립되었고 질병의 원인도 하나씩 찾아나가며 인류를 새로운 단계로 진입시켰다. 발전의 발전을 거듭한 현미경은 이제 가시광선보다 훨씬 작은 원자와 분자의 세계를 관찰할 수 있다. 코로나바이러스를 이루는 단백질 구조도 현미경으로 들여다볼 수 있다. 현미경이 없었다면 백신은 꿈도 꿀 수 없었을지 모른다.

현미경이 생물학에 혁명을 불러 왔듯이, 신경과학(뇌과학)에 일대전환을 이룬 하나의 발명이 있었으니 바로 자기공명영상(MRI) 장치의 개발이다. 개발된 지 이제 불과 수십 년에 불과하지만 이 장치를 이용해 우주, 바다와 함께 인류가 정복하지 못한 ‘3대 미지의 영역’이라 불리는 뇌에 대해 인간은 본격적인 탐구를 시작했다.
 ",9.4,0
뉴턴의 아틀리에,인문,"과학과 예술 세계가 소통해야 하는 이유는 무엇인가?
경이로운 생명력은 관계 맺음에서 피어나기 때문이다.

물리학자 김상욱, 타이포그래퍼 유지원, 서로 다른 영역에서 두각을 드러내고 있는 젊은 연구자들이 만났다. 김상욱 교수는 틈만 나면 미술관을 찾는 과학자이며, 유지원 교수는 물리학회까지 참석하며 과학에 열정을 보이는 디자이너다. 두 저자는 무엇보다도 “관계 맺고 소통하기”를 지향한다. 그 과정에서 관찰과 사색, 수학적 사고와 창작의 세계에 대해 고민해 본다. 구체적으로는 자연스러움, 복잡함, 감각, 가치, 상전이, 유머 등 모두 26개의 키워드를 놓고 과학자와 예술가가 서로 다른 영역에서 연결 고리를 찾기 위해 다양한 생각들을 펼쳐 낸다. 디자이너는 소통의 가능성을 ‘경계’에서 찾는다.

 ",9.2,0
만화 주역,인문,"전세계 10개 언어로 번역된어 큰 인기를 끈 세계인의 《주역》 입문서

《주역》은 오랜 시간에 걸쳐 응축된 동양사상의 정수이자 뿌리다. 고대인들의 세계관과 예지가 담긴 철학서로서 오늘날에도 광범위한 영역에 걸쳐 그 영향력이 여전하다. 공자는 죽간의 끈이 세 번 끊어질 정도로 《주역》에 심취하였다. 노자의 사상은 《주역》의 충실한 계승 위에서 이루어졌다. 춘추전국시대 백가쟁명의 사상투쟁은 기본적으로 《주역》의 무대 위에서 펼쳐졌다. 이진법은 주역 64괘를 본 라이프니츠에 의해 고안되었다고 한다. 아인슈타인은 《주역》을 만물의 정수라고 평가하였다.

우리 사회에서도 최근 주역에 대한 관심이 크게 높아졌다. 하지만 독자의 발목을 잡는 것은 《주역》의 추상성과 난해함이다. 이 책 《만화 주역》은 그러한 독자의 갈증을 해소해주는 책이다. 저자는 오랫동안 《주역》을 비롯한 고전의 연구와 대중화에 매달려왔다. 그의 해법은 만화 형식을 도입하는 것이었다. 그리고 대성공을 거두었다. 중국에서 출간되자마자 큰 인기를 끌더니 전 세계 10여 개 언어로 번역되어 세계인의 《주역》 입문서로 자리매김하였다. 정교하고 친근한 일러스트와 옛 문자 및 그림에 대한 요령 있는 해설을 따라가다 보면 어느새 추상적인 이미지가 하나하나 이해가능한 개념으로 머릿속에 들어온다. 심지어 재미있기까지 하다. 그러면서도 원문에 충실하다는 게 이 책의 미덕이다.

다른 《주역》 책과 구별되는 이 책만의 특징은 한의학과 《주역》의 관계를 한뿌리(醫易同源)로 설명하는 부분이다. 이 책의 제4부에서 한의학 이론의 기본개념을 《주역》과 관련지워 설명함으로써, 《주역》이 역사적으로 우리의 삶 속에 깊이 둥지를 틀고 있음을 보여준다. 한의학도들의 《주역》 공부에 더할 나위 없이 친근한 벗이 되리라고 확신한다. 이 책은 여러 차례 수정을 거듭해 다듬은 최신 수정본으로, 《만화 논어》 《만화 노자》 《만화 장자》와 함께 고전의 지혜를 널리 알리기 위해 기획한 시리즈의 한 권이다.
 ",10.0,1
캐릭터 직업 사전,인문,"아마존 글쓰기 분야 베스트셀러 『트라우마 사전』, 『디테일 사전』 시리즈 신작
‘중단편의 신’ 김보영 소설가 강력 추천!

캐릭터는 이야기의 시작이자 끝이다. 핵심이며 기본이다. 우리가 이야기 자체보다 캐릭터에 열광하고 빠져드는 이유다. 여기 그 캐릭터를 구상할 때, 등장인물에 좀 더 디테일한 리얼리티를 부여하고 싶을 때, 옆에 두고 읽으면 세상 든든한 사전이 왔다. 바로 ‘캐릭터 직업’에 관한 사전이다.

현업 작가와 작가 지망생들에게 전폭적인 지지를 얻었던 글쓰기 분야 스테디셀러 『트라우마 사전』, 『디테일 사전』의 저자들이 이번에는 인물의 ‘직업’에 주목했다. 자, 인생 드라마, 영화, 웹소설, 소설, 웹툰… 모든 히트작들의 공통점을 떠올려보라. 그 중심에는 언제나 히어로든 빌런이든 감정적 공감도가 높고 개성적인 인물이 있다. 저자들은 인물이 종사하는 직업의 중요성을 환기한다. 직업은 상상 속 인물에게 현실성을 입히고, 이야기의 개연성을 업그레이드시키며, 높은 몰입도를 선사하기 때문이다. 이 책은 인물의 직업을 둘러싼 모든 설정들을 한데 집약해놓은 백과사전이자 가이드북이다.

교사, 경찰, 변호사처럼 익숙한 직업부터 범죄 현장 청소부, 요가 강사, 고생물학자처럼 생소한 직업까지, 엄선된 124가지 직업을 지닌 인물들의 디테일을 요목조목 일목요연하게 정리해놓았다. 각 직업의 인물이 지니는 성격적 특징과 남다른 기술과 재능, 취미와 열정, 신체적 특징, 특유의 직업병 같은 행동들, 추구하는 이상과 신념, 좋아하는 것들, 경제적 상황까지, 우리들의 상상력에 불쏘시개가 되어줄 아이디어들이 페이지마다 가득하다.

나만의 매력적인 캐릭터를 창조하고 싶다면? 캐릭터에게 생명력을 불어넣고 싶다면? 좀 더 설득력과 호소력을 지닌 인물을 묘사하고 싶다면? 그 인물의 직업에 집중해보시라. 세상 어디서도 보지 못한 존재감 넘치는 캐릭터가 탄생할 것이다. 그 여정에 언제고 함께할 지도이자 길잡이 같은 책이 여기 있다.
 ",9.3,0
